,FENCE_ID,LONGITUDE_0,LATITUDE_0,LONGITUDE_1,LATITUDE_1,LONGITUDE_2,LATITUDE_2,LONGITUDE_3,LATITUDE_3,LATITUDE,LONGITUDE,ROAD
13,长乐路0_L_A17014,118.102276,24.526099,118.102298,24.526128,118.102311,24.52612,118.102289,24.526091,24.526109500000004,118.1022935,长乐路
14,长乐路0_L_A17015,118.102073,24.525824,118.102105,24.525866,118.102118,24.525858,118.102086,24.525815,24.52584075,118.1020955,长乐路
15,长乐路0_L_A17016,118.102038,24.525773,118.102066,24.52581,118.102077,24.525803,118.102049,24.525766,24.525788000000002,118.1020575,长乐路
16,长乐路0_L_A17017,118.102006,24.525731,118.10203,24.525762,118.102041,24.525755,118.102017,24.525723,24.52574275,118.1020235,长乐路
17,长乐路0_L_A17018,118.10177,24.525415,118.101798,24.525447,118.101811,24.525437,118.101782,24.525406,24.52542625,118.10179025000001,长乐路
18,长乐路0_L_A17019,118.102183,24.525975,118.102208,24.526008,118.102221,24.526,118.102196,24.525966,24.52598725,118.10220199999999,长乐路
19,长乐路0_R_A17001,118.103303,24.5272,118.103279,24.527166,118.103266,24.527175,118.10329,24.527208,24.52718725,118.1032845,长乐路
20,长乐路0_R_A17002,118.102007,24.525446,118.10199,24.525424,118.101978,24.525431,118.101995,24.525454,24.52543875,118.1019925,长乐路
21,长乐路0_R_A17003,118.102455,24.526051,118.102428,24.526015,118.102415,24.526023,118.102442,24.526059,24.526037,118.102435,长乐路
22,长乐路0_R_A17004,118.102487,24.526096,118.102462,24.526062,118.10245,24.52607,118.102475,24.526104,24.526083,118.10246850000001,长乐路
23,长乐路0_R_A17005,118.102515,24.526135,118.102496,24.526108,118.102483,24.526115,118.102503,24.526142,24.526125,118.10249925000001,长乐路
24,长乐路0_R_A17006,118.102543,24.526173,118.102524,24.526146,118.102511,24.526153,118.102531,24.52618,24.526163,118.10252725,长乐路
25,长乐路0_R_A17007,118.102666,24.526337,118.102648,24.526312,118.102635,24.526319,118.102653,24.526345,24.52632825,118.10265050000001,长乐路
26,长乐路0_R_A17008,118.102639,24.5263,118.102616,24.52627,118.102604,24.526278,118.102626,24.526307,24.526288750000003,118.10262125,长乐路
27,长乐路0_R_A17009,118.1027,24.526382,118.102676,24.52635,118.102664,24.526357,118.102688,24.526389,24.5263695,118.102682,长乐路
28,长乐路0_R_A17010,118.102795,24.526511,118.10277,24.526477,118.102756,24.526485,118.102782,24.526519,24.526498000000004,118.10277574999999,长乐路
29,长乐路0_R_A17011,118.102761,24.526465,118.10274,24.526437,118.102727,24.526445,118.102748,24.526474,24.526455249999998,118.102744,长乐路
30,长乐路0_R_A17012,118.102829,24.526557,118.102804,24.526524,118.102791,24.526532,118.102816,24.526566,24.52654475,118.10281,长乐路
31,长乐路0_R_A17013,118.102862,24.526602,118.102837,24.526569,118.102824,24.526577,118.102849,24.52661,24.5265895,118.102843,长乐路
32,长乐路0_R_A17014,118.102894,24.526645,118.102869,24.526611,118.102856,24.526619,118.102881,24.526653,24.526632,118.10287500000001,长乐路
33,长乐路0_R_A17015,118.103,24.526789,118.102969,24.526747,118.102956,24.526755,118.102987,24.526797,24.526772,118.102978,长乐路
34,长乐路0_R_A17016,118.103058,24.526868,118.103036,24.526838,118.103023,24.526846,118.103045,24.526876,24.526857000000003,118.1030405,长乐路
35,长乐路0_R_A17017,118.103086,24.526906,118.103067,24.526879,118.103054,24.526887,118.103073,24.526914,24.526896500000003,118.10307,长乐路
36,长乐路0_R_A17018,118.103121,24.526952,118.103095,24.526918,118.103082,24.526926,118.103108,24.526961,24.52693925,118.10310150000001,长乐路
37,长乐路0_R_A17019,118.103183,24.527036,118.10316,24.527006,118.103147,24.527014,118.103169,24.527044,24.527025,118.10316474999999,长乐路
38,长乐路0_R_A17020,118.10321,24.527074,118.103191,24.527047,118.103178,24.527056,118.103197,24.527082,24.52706475,118.103194,长乐路
39,长浩路0_L_A17001,118.101751,24.521208,118.101751,24.521239,118.101771,24.521239,118.101771,24.521208,24.5212235,118.101761,长浩路
40,长浩路0_L_A17002,118.101802,24.521697,118.101802,24.521746,118.101814,24.521746,118.101814,24.521697,24.5217215,118.101808,长浩路
41,长浩路0_L_A17003,118.101802,24.521746,118.101801,24.5218,118.101813,24.5218,118.101814,24.521746,24.521773000000003,118.10180749999999,长浩路
42,长浩路0_L_A17004,118.101801,24.521956,118.101801,24.522016,118.101814,24.522016,118.101814,24.521955,24.52198575,118.10180749999999,长浩路
43,长浩路0_L_A17005,118.101812,24.523246,118.101813,24.523307,118.101827,24.523307,118.101827,24.523246,24.5232765,118.10181975,长浩路
44,长浩路0_L_A17006,118.101818,24.523582,118.101815,24.523662,118.101831,24.523662,118.101835,24.523583,24.523622250000003,118.10182475,长浩路
45,长浩路0_L_A17007,118.101823,24.523493,118.101819,24.523569,118.101835,24.523569,118.101839,24.523494,24.523531249999998,118.101829,长浩路
46,长浩路0_L_A17008,118.101787,24.524035,118.101782,24.524069,118.101797,24.52407,118.101802,24.524037,24.524052750000003,118.10179200000002,长浩路
47,长浩路0_L_A17009,118.101781,24.52408,118.101776,24.524111,118.101792,24.524113,118.101797,24.524082,24.5240965,118.1017865,长浩路
48,长浩路0_L_A17010,118.10178,24.524175,118.101765,24.524173,118.101759,24.524202,118.101774,24.524204,24.5241885,118.10176950000002,长浩路
49,长浩路0_L_A17011,118.101756,24.524215,118.10175,24.524251,118.101765,24.524253,118.101772,24.524218,24.524234250000003,118.10176075,长浩路
50,长浩路0_L_A17012,118.101747,24.524264,118.101734,24.524335,118.101749,24.524338,118.101763,24.524267,24.524300999999998,118.10174825,长浩路
51,长浩路0_L_A17013,118.101511,24.524733,118.10148,24.524738,118.101482,24.524751,118.101514,24.524746,24.524741999999996,118.10149675000001,长浩路
52,长浩路0_R_A17001,118.101913,24.524544,118.101937,24.524474,118.101924,24.52447,118.1019,24.52454,24.524507,118.1019185,长浩路
53,长浩路0_R_A17002,118.102003,24.524209,118.10201,24.524173,118.101995,24.52417,118.101988,24.524207,24.52418975,118.101999,长浩路
54,长浩路0_R_A17003,118.102013,24.52416,118.102018,24.524131,118.102004,24.524129,118.101999,24.524158,24.5241445,118.10200849999998,长浩路
55,长浩路0_R_A17004,118.102047,24.523887,118.102054,24.523853,118.102041,24.523851,118.102034,24.523885,24.523868999999998,118.10204399999999,长浩路
56,长浩路0_R_A17005,118.102033,24.524028,118.102043,24.523944,118.102027,24.523943,118.102016,24.524027,24.523985500000002,118.10202975,长浩路
57,长浩路0_R_A17006,118.102055,24.523647,118.102057,24.523593,118.102042,24.523593,118.10204,24.523646,24.52361975,118.1020485,长浩路
58,长浩路0_R_A17007,118.102058,24.523403,118.102058,24.523374,118.102044,24.523374,118.102044,24.523403,24.5233885,118.10205099999999,长浩路
59,长浩路0_R_A17008,118.102058,24.523342,118.102058,24.52329,118.102042,24.52329,118.102042,24.523342,24.523316,118.10204999999999,长浩路
60,长浩路0_R_A17009,118.102082,24.52188,118.102081,24.521818,118.102066,24.521819,118.102067,24.52188,24.52184925,118.10207399999999,长浩路
61,长浩路0_R_A17010,118.102083,24.521685,118.102083,24.521582,118.102066,24.521582,118.102066,24.521685,24.5216335,118.10207449999999,长浩路
62,长浩路0_R_A17011,118.1011,24.5258,118.101157,24.525746,118.101144,24.525735,118.101088,24.525789,24.5257675,118.10112225,长浩路
63,长浩路0_R_A17012,118.100402,24.526311,118.10043,24.526291,118.100419,24.526278,118.100391,24.526298,24.5262945,118.1004105,长浩路
64,长浩路0_R_A17013,118.101814,24.523675,118.101813,24.523707,118.101829,24.523707,118.101831,24.523676,24.52369125,118.10182175,长浩路
65,七星西路0_L_1,118.091377284,24.4884913674,118.091360181,24.4884887458,118.091346444,24.4885639029,118.091363548,24.4885665172,24.488527633325,118.09136186425,七星西路
66,七星西路0_L_2,118.09105613,24.4902519911,118.091038779,24.4902487213,118.091024537,24.4903243821,118.091041914,24.4903275172,24.490288152925,118.09104034,七星西路
67,七星西路0_L_3,118.090914146,24.4910250556,118.090895298,24.4910220621,118.090883198,24.4910889087,118.090902573,24.4910921476,24.4910570435,118.09089880375001,七星西路
68,七星西路0_R_1,118.091618049,24.488899488,118.091603409,24.4888971466,118.091598264,24.4889280534,118.091612455,24.4889301417,24.488913707425,118.09160804425,七星西路
69,七星西路0_R_2,118.091482,24.4896428889,118.091465523,24.4896403712,118.091458537,24.4896803193,118.091474708,24.489683036,24.48966165385,118.091470192,七星西路
70,七星西路0_R_3,118.091309555,24.4915248361,118.091275305,24.4915090165,118.091267444,24.4915250475,118.091301694,24.4915408671,24.4915249418,118.0912884995,七星西路
71,七星西路_L_1,118.0915030328,24.4877226143,118.0914867356,24.4877890664,118.09150439,24.4877926924,118.0915206872,24.4877262403,24.487757653350002,118.0915037114,七星西路
72,七星西路_L_2_A,118.0914730185,24.4878795888,118.0914614317,24.4879322756,118.0914804736,24.4879357826,118.0914920603,24.4878830958,24.4879076857,118.091476746025,七星西路
73,七星西路_L_2_B,118.0913811138,24.4883900458,118.0913661654,24.4884765721,118.0913837023,24.4884791101,118.0913986516,24.4883925838,24.488434577950002,118.091382408275,七星西路
74,七星西路_L_3_A,118.0914298667,24.4881312594,118.0914072447,24.4882040053,118.0914204348,24.4882074404,118.0914430568,24.4881346945,24.4881693499,118.09142515075,七星西路
75,七星西路_L_3_B,118.091343002,24.4885970443,118.0913338648,24.4886490707,118.0913513952,24.4886516494,118.0913605323,24.4885996221,24.488624346625,118.091347198575,七星西路
76,七星西路_L_4_A,118.0912014467,24.4889322378,118.0911960219,24.4889919553,118.0912093514,24.4889929693,118.0912147762,24.4889332518,24.48896260355,118.09120539905,七星西路
77,七星西路_L_4_B,118.0910594628,24.4901437918,118.0910150205,24.4903886862,118.0910315621,24.4903911999,118.0910760054,24.4901463054,24.490267495825,118.0910455127,七星西路
78,七星西路_L_5_A,118.0907340904,24.4914601291,118.0906874592,24.4914923844,118.0906942307,24.4915005822,118.0907408619,24.4914683269,24.49148035565,118.09071416055,七星西路
79,七星西路_L_5_B,118.0910109743,24.4904039115,118.0910017356,24.4904535736,118.0910192398,24.4904563005,118.0910284775,24.4904066385,24.490430106025002,118.0910151068,七星西路
80,七星西路_L_6,118.0909283398,24.4908293693,118.0909155351,24.4909120896,118.0909331155,24.4909143683,118.0909459201,24.490831648,24.4908718688,118.090930727625,七星西路
81,七星西路_L_7,118.090892603,24.4910492871,118.0908776507,24.4911385116,118.0908942263,24.4911408373,118.0909091786,24.4910516128,24.491095062199996,118.09089341465,七星西路
82,七星西路_R_1_A,118.0911886828,24.4913957882,118.0911795525,24.4913377542,118.091165208,24.4913396441,118.0911743383,24.4913976781,24.49136771615,118.0911769454,七星西路
83,七星西路_R_1_B,118.0916956072,24.4884784545,118.0917095476,24.4884024935,118.0916915333,24.4883997251,118.0916775928,24.4884756853,24.4884390896,118.091693570225,七星西路
84,七星西路_R_2_A,118.0916437886,24.4887491211,118.0916495772,24.4887184207,118.0916336047,24.4887158986,118.0916278161,24.488746599,24.488732509849996,118.09163869665001,七星西路
85,七星西路_R_2_B,118.0916256786,24.4888649858,118.0916423067,24.4887633758,118.0916247483,24.4887609697,118.0916081201,24.4888625797,24.488812977749998,118.091625213425,七星西路
86,七星西路_R_3_A,118.0917176306,24.4883885494,118.0917371953,24.488312085,118.091717987,24.4883079691,118.0916984223,24.4883844335,24.48834825925,118.0917178088,七星西路
87,七星西路_R_3_B,118.0915460025,24.489279034,118.0915638107,24.4891911682,118.0915463529,24.4891882053,118.0915285447,24.4892760711,24.48923361965,118.0915461777,七星西路
88,七星西路_R_4,118.0914108875,24.4899730404,118.0914267421,24.489891272,118.0914092597,24.489888433,118.091393405,24.4899702014,24.4899307367,118.091410073575,七星西路
89,七星西路_R_5,118.0912995974,24.4905421898,118.0913158897,24.490452247,118.0912993313,24.4904497353,118.0912830391,24.4905396781,24.49049596255,118.091299464375,七星西路
90,七星路0_R_1,118.093932403,24.4893912676,118.09391803,24.4893878692,118.093908586,24.4894183288,118.093922959,24.4894217254,24.489404797749998,118.0939204945,七星路
91,七星路_L_1_A,118.0943076617,24.4878205158,118.0942919082,24.4878498928,118.0943013903,24.4878541511,118.0943171438,24.4878247741,24.48783733345,118.094304526,七星路
92,七星路_L_1_B,118.0932039813,24.4911081188,118.0931855571,24.49117495,118.0932027734,24.4911789245,118.0932211976,24.4911120933,24.491143521650002,118.09320337735,七星路
93,七星路_L_2_A,118.0946089575,24.4869096358,118.0945836426,24.486982252,118.0945969417,24.4869861347,118.0946222566,24.4869135185,24.48694788525,118.0946029496,七星路
94,七星路_L_2_B,118.0931511232,24.4912984224,118.0931290569,24.4913729981,118.0931461947,24.4913772449,118.093168262,24.4913026692,24.49133783365,118.0931486592,七星路
95,七星路_L_3,118.0947304992,24.4869232567,118.0947543426,24.4868491333,118.0947433356,24.4868461681,118.0947194922,24.4869202915,24.486884712400002,118.0947369174,七星路
96,七星路_R_1,118.0942600618,24.4883979478,118.0942970263,24.4882749551,118.0942814275,24.4882710285,118.094244463,24.4883940221,24.488334488375,118.09427074465,七星路
97,七星路_R_10,118.093439679,24.4908796531,118.0934565671,24.4908224052,118.0934403806,24.4908184061,118.0934234924,24.4908756539,24.490849029575003,118.093440029775,七星路
98,七星路_R_11,118.0933705359,24.4911472845,118.0933908401,24.4910729165,118.0933737695,24.4910690141,118.0933534653,24.4911433811,24.49110814905,118.0933721527,七星路
99,七星路_R_2,118.0940786662,24.4889401549,118.094100349,24.4888744843,118.0940861855,24.4888705681,118.0940645027,24.4889362387,24.488905361500002,118.09408242585,七星路
100,七星路_R_3,118.0939678496,24.4892865837,118.0939888499,24.4892247888,118.0939736748,24.4892204701,118.0939526755,24.489282265,24.4892535269,118.09397076245001,七星路
101,七星路_R_4,118.0938969564,24.4895112035,118.0939214811,24.489436164,118.0939051841,24.4894317035,118.0938806604,24.489506743,24.489471453500002,118.09390107050001,七星路
102,七星路_R_5,118.0938410422,24.4896900119,118.0938654064,24.4896138624,118.0938493555,24.4896095617,118.0938249912,24.4896857113,24.489649786825,118.093845198825,七星路
103,七星路_R_6,118.0937988407,24.4898156016,118.0938215018,24.4897486187,118.0938055396,24.4897440962,118.0937828785,24.4898110792,24.489779848924996,118.09380219015,七星路
104,七星路_R_7,118.093645798,24.4902635351,118.0936709617,24.4901861512,118.0936548903,24.4901817748,118.0936297266,24.4902591587,24.49022265495,118.09365034414999,七星路
105,七星路_R_8,118.0935813995,24.4904625008,118.0935983499,24.4904076762,118.0935822151,24.4904034989,118.0935652647,24.4904583235,24.49043299985,118.09358180730001,七星路
106,七星路_R_9,118.0934830278,24.4907495444,118.0935039766,24.4906899553,118.0934880247,24.4906852594,118.0934670759,24.4907448485,24.4907174019,118.09348552624999,七星路
107,七星路(体育路至湖滨北路)_L_1,118.0952140063,24.4850212754,118.0951912869,24.4850951321,118.0952074278,24.4850992903,118.0952301472,24.4850254335,24.485060282825,118.09521071705001,七星路体育路至湖滨北路
108,七星路(体育路至湖滨北路)_L_2,118.0951563608,24.4851946274,118.0951389369,24.4852482731,118.0951587915,24.4852536744,118.0951762164,24.4852000287,24.485224150900002,118.0951575764,七星路体育路至湖滨北路
109,七星路(体育路至湖滨北路)_L_3,118.0949802931,24.485738698,118.0949659449,24.4857856405,118.0949830436,24.4857900174,118.0949973918,24.4857430749,24.4857643577,118.09498166835,七星路体育路至湖滨北路
110,七星路(体育路至湖滨北路)_L_4,118.0949254978,24.4859102437,118.094891511,24.4860149452,118.0949075848,24.4860193151,118.0949415716,24.4859146136,24.4859647794,118.0949165413,七星路体育路至湖滨北路
111,七星路(体育路至湖滨北路)_L_5,118.0947616336,24.4864150511,118.0947370008,24.4864940065,118.0947531256,24.486498219,118.0947777574,24.4864192636,24.48645663505,118.09475737934999,七星路体育路至湖滨北路
112,七星路(体育路至湖滨北路)_L_6,118.0946744463,24.486687155,118.0946504428,24.4867568938,118.0946664359,24.4867615035,118.0946904404,24.4866917656,24.486724329475,118.09467044134999,七星路体育路至湖滨北路
113,七星路(体育路至湖滨北路)_L_7,118.0945276225,24.4871436389,118.0945103233,24.4872027386,118.0945236504,24.4872060055,118.0945409497,24.4871469058,24.4871748222,118.094525636475,七星路体育路至湖滨北路
114,七星路(体育路至湖滨北路)_L_8,118.0944455402,24.4873910285,118.0944255181,24.487452615,118.0944420638,24.4874571197,118.0944620858,24.4873955332,24.487424074099998,118.09444380197499,七星路体育路至湖滨北路
115,七星路(体育路至湖滨北路)_L_9,118.0944013448,24.4875393493,118.0943768517,24.4876305118,118.0943902615,24.4876335298,118.0944147546,24.4875423664,24.487586439325,118.09439580315,七星路体育路至湖滨北路
116,七星路(体育路至湖滨北路)_R_1,118.0953139763,24.4851281975,118.0953402408,24.4850533131,118.0953253141,24.4850489286,118.0952990496,24.485123813,24.48508856305,118.09531964520001,七星路体育路至湖滨北路
117,七星路(体育路至湖滨北路)_R_2,118.0952283028,24.4853929816,118.0952548908,24.4853162596,118.0952399399,24.4853119204,118.0952133519,24.4853886424,24.485352451,118.09523412135,七星路体育路至湖滨北路
118,七星路(体育路至湖滨北路)_R_3,118.0951744216,24.4855645533,118.095198526,24.4854900014,118.0951840363,24.4854860768,118.095159931,24.4855606296,24.485525315275,118.095179228725,七星路体育路至湖滨北路
119,七星路(体育路至湖滨北路)_R_4,118.0946081557,24.4873161346,118.0946322825,24.4872417108,118.0946190433,24.4872381165,118.0945949165,24.4873125403,24.487277125549998,118.0946135995,七星路体育路至湖滨北路
120,七星路(体育路至湖滨北路)_R_5,118.0945327251,24.4875432673,118.0945563986,24.4874680912,118.0945431326,24.4874645928,118.0945194591,24.4875397689,24.487503930049996,118.09453792885,七星路体育路至湖滨北路
121,七星路(体育路至湖滨北路)_R_6,118.0944318219,24.487833093,118.0944578728,24.4877582662,118.0944447153,24.4877544303,118.0944186644,24.487829257,24.487793761625,118.0944382686,七星路体育路至湖滨北路
122,万寿路0_L_1,118.096381791,24.463016258,118.096337251,24.4630153264,118.096337264,24.4630330933,118.096381231,24.4630342223,24.463024725,118.09635938425001,万寿路
123,万寿路0_L_2,118.098915101,24.4630194684,118.098877163,24.463016146,118.098875331,24.4630336645,118.09891327,24.4630369869,24.463026566449997,118.09889521624999,万寿路
124,万寿路0_L_3,118.099409519,24.4641467822,118.099375958,24.4641203939,118.099363389,24.4641338941,118.099396653,24.4641604254,24.4641403739,118.09938637975,万寿路
125,万寿路0_L_4,118.099432167,24.464165196,118.099409519,24.4641467822,118.099396653,24.4641604254,118.099419528,24.4641785875,24.464162747775,118.09941446675,万寿路
126,万寿路0_L_5,118.09945569,24.4641839916,118.099432167,24.464165196,118.099419528,24.4641785875,118.099442539,24.4641974635,24.46418130965,118.099437481,万寿路
127,万寿路0_R_1,118.096315892,24.4629242117,118.096262171,24.4629227409,118.096261561,24.4629406152,118.096315382,24.4629418605,24.462932357074997,118.09628875150001,万寿路
128,万寿路0_R_2,118.096385216,24.4629258419,118.096329393,24.4629245281,118.096328883,24.4629422482,118.096384785,24.4629435985,24.462934054175,118.09635706925,万寿路
129,万寿路0_R_3,118.097975546,24.4629607893,118.09788466,24.4629590754,118.097883884,24.4629769311,118.097974789,24.4629788796,24.46296891885,118.09792971975,万寿路
130,万寿路0_R_4,118.098184206,24.4629641164,118.098090823,24.4629628387,118.09809048,24.4629806416,118.09818478,24.462982057,24.462972413425,118.09813757225,万寿路
131,万寿路0_R_5,118.099904698,24.4624708868,118.099897577,24.4624583279,118.099864247,24.4624743641,118.099871781,24.4624874021,24.462472745225,118.09988457575,万寿路
132,下堡路0_L_1,118.184030143,24.5004626018,118.184027692,24.5004486674,118.183993792,24.5004546581,118.183996119,24.5004680356,24.500458490725002,118.18401193649999,下堡路
133,下堡路0_L_2,118.184751895,24.5003530743,118.184733613,24.5003492957,118.184722116,24.5003958649,118.184740399,24.5003996436,24.500374469625,118.18473700575001,下堡路
134,下堡路0_L_A06001,118.184168,24.500433,118.184277,24.500405,118.184273,24.500392,118.184164,24.50042,24.500412500000003,118.18422050000001,下堡路
135,下堡路0_L_A06002,118.186768,24.500398,118.18685,24.500399,118.18685,24.500386,118.186768,24.500385,24.500391999999998,118.18680900000001,下堡路
136,下堡路0_L_A06003,118.190466,24.499867,118.190511,24.499843,118.190502,24.49983,118.190457,24.499854,24.4998485,118.190484,下堡路
137,下堡路0_L_A06004,118.184923,24.500248,118.184859,24.500249,118.184859,24.500262,118.184924,24.500262,24.500255249999995,118.18489124999999,下堡路
138,下堡路0_L_3,118.185504909,24.5003937983,118.185465117,24.5003926701,118.185464541,24.5004096964,118.185504332,24.5004108247,24.500401747374998,118.18548472475,下堡路
139,下堡路0_L_4,118.186168124,24.5004032032,118.186132967,24.5003829137,118.186122426,24.5003978384,118.186157224,24.5004182598,24.500400553775002,118.18614518525,下堡路
140,下堡路0_L_5,118.186888033,24.5004183411,118.186869368,24.5004180094,118.18686898,24.5004558528,118.186887431,24.5004560688,24.500437068025,118.186878453,下堡路
141,下堡路0_L_6,118.186939871,24.5004557441,118.186898355,24.5004548221,118.18689794,24.5004727959,118.186939398,24.5004735857,24.500464236950002,118.18691889099999,下堡路
142,下堡路0_L_7,118.187625545,24.5004263666,118.187537165,24.5004255092,118.187536966,24.5004432448,118.187625106,24.5004443776,24.50043487455,118.18758119549999,下堡路
143,下堡路0_R_A06002,118.184492,24.50021,118.18445,24.50025,118.184462,24.50026,118.184504,24.500221,24.50023525,118.184477,下堡路
144,下堡路0_R_A06003,118.186165,24.500302,118.186261,24.500304,118.186261,24.500289,118.186165,24.500287,24.5002955,118.18621300000001,下堡路
145,下堡路0_R_A06004,118.187926,24.500267,118.187854,24.500305,118.187863,24.500318,118.187934,24.500281,24.50029275,118.18789425,下堡路
146,下堡路0_R_A06005,118.190675,24.499683,118.19062,24.499694,118.190623,24.499711,118.190679,24.4997,24.499697,118.19064924999999,下堡路
147,下澳仔路_L_1,118.0869387993,24.4397724772,118.0868846593,24.4397815344,118.086888072,24.4397986314,118.086942212,24.4397895741,24.439785554275,118.08691343565,下澳仔路
148,下澳仔路_R_1,118.0856468621,24.4401434769,118.0856932411,24.4401288396,118.0856889252,24.4401148893,118.0856427927,24.4401291624,24.440129092049997,118.085667955275,下澳仔路
149,东坪山路0_L_1,118.117111732,24.4689764296,118.117096706,24.4689642035,118.117068782,24.4689947785,118.117082551,24.4690066357,24.468985511825,118.11708994275,东坪山路
150,东坪山路0_L_2,118.117013894,24.4704282035,118.117002125,24.4704184862,118.11697854,24.4704416279,118.116990308,24.4704513452,24.4704349157,118.11699621675001,东坪山路
151,东坪山路0_L_3,118.116844684,24.4705919128,118.116833607,24.4705819901,118.116809378,24.4706057539,118.116820455,24.4706156767,24.470598833375,118.116827031,东坪山路
152,东坪山路0_L_4,118.116774501,24.4706602855,118.116762913,24.4706499098,118.116738655,24.4706735015,118.116750244,24.4706838772,24.4706668935,118.11675657825,东坪山路
153,东坪山路0_L_5,118.115879023,24.471879345,118.115884232,24.4718271576,118.115866756,24.4718300255,118.115861546,24.4718822128,24.471854685225,118.11587288925,东坪山路
154,东坪山路0_L_6,118.114956081,24.4743688855,118.1149479,24.4743519616,118.11490809,24.4743701676,118.114917787,24.4743858599,24.474369218649997,118.11493246449999,东坪山路
155,东坪山路0_R_1,118.117506459,24.4700938743,118.117495878,24.4700857534,118.117465596,24.4701149909,118.117476177,24.4701231119,24.470104432625,118.11748602750001,东坪山路
156,东坪山路0_R_2,118.115998158,24.4724259733,118.115996239,24.4723855945,118.115978579,24.4723863622,118.115980499,24.4724267411,24.472406167775,118.11598836875,东坪山路
157,东坪山路0_R_3,118.115589169,24.4741233924,118.115573981,24.4741127462,118.11554797,24.474144594,118.115563159,24.4741552402,24.4741339932,118.11556856975,东坪山路
158,东坪山路0_R_4,118.114882703,24.4745723445,118.114876239,24.4745602942,118.11484534,24.4745746152,118.114851822,24.4745868648,24.474573529675002,118.11486402599999,东坪山路
159,东坪山路_L_1,118.1170521,24.4704149,118.1170295,24.47043876,118.1170414,24.47044822,118.117064,24.47042436,24.470431559999998,118.11704675000001,东坪山路
160,东坪山路_L_2,118.1160306,24.47138454,118.1160095,24.471415,118.1160219,24.47142227,118.1160431,24.4713918,24.471403402500002,118.11602627500001,东坪山路
161,东坪山路_L_A04001,118.1143334988,24.474827357,118.1144128528,24.474791089,118.1144051747,24.4747770175,118.1143258207,24.4748132855,24.474802187250003,118.11436933675,东坪山路
162,东坪山路_L_3,118.115897,24.47225253,118.1159007,24.47229214,118.1159177,24.47229083,118.1159141,24.47225122,24.47227168,118.115907375,东坪山路
163,东坪山路_L_4,118.1150298,24.47433266,118.1149916,24.47434957,118.1149985,24.47436257,118.1150367,24.47434566,24.474347615,118.11501415000001,东坪山路
164,东坪山路_L_5,118.1144986,24.47456634,118.114462,24.47458194,118.1144676,24.47459297,118.1145042,24.47457737,24.474579655,118.1144831,东坪山路
165,东坪山路_R_1,118.1144561,24.47477571,118.1144911,24.47475904,118.1144842,24.47474703,118.1144493,24.4747637,24.47476137,118.114470175,东坪山路
166,东坪山路_R_2,118.1149784,24.47453135,118.1150346,24.47450499,118.1150274,24.47449214,118.1149712,24.4745185,24.474511745,118.11500290000001,东坪山路
167,东坪山路_R_3,118.1160194,24.47234523,118.1160192,24.47231364,118.1160059,24.47231374,118.1160061,24.47234533,24.472329485,118.11601265,东坪山路
168,东坪山路_R_4,118.1164368,24.47111069,118.1164644,24.47108471,118.1164531,24.47107465,118.1164255,24.47110063,24.471092669999997,118.11644495,东坪山路
169,东埔路0_L_A14001,118.120543,24.474656,118.120662,24.47466,118.120663,24.474647,118.120544,24.474643,24.4746515,118.12060299999999,东埔路
